fa,spend,transactions,agencies,vendors
"Roads, Bridges & Highways",1881093904.02,6914,12,375
Professional & Contracted Services,958762816.88,47391,91,3813
"Buildings, Land & Capital Construction",695560668.05,7962,50,777
Information Technology,501397029.48,24918,88,1387
"Insurance, Claims & Risk",497952569.98,18959,89,728
Contracts with Governments & Nonprofits,436602069.66,5207,65,444
"Supplies, Equipment & Materials",433922627.46,60642,88,3794
"Vehicles, Fuel & Fleet",341295757.97,56419,75,1836
Telecommunications & Connectivity,200610298.94,23361,86,389
Utilities,192406830.3,20311,46,275
"Rent, Leases & Facilities Operations",114723040.07,26300,89,1332
Medical & Health Services (operational),67708914.79,8323,39,125
"Personnel, Training & Memberships",65864957.53,11290,87,7570
"Testing, Research & Appraisal",48093560.68,1046,43,206
"Marketing, Promotion & Public Information",45550344.42,4737,79,813
Food & Provisions,43078078.36,3799,37,95
"Travel, Lodging & Per Diem",33059319.25,107573,88,12706
"Printing, Postage & Mail",30635615.96,14820,85,1225
Security & Protective Services,18415093.71,2546,42,54
