vendor,spend,agencies,transactions
DEPARTMENT OF ADMINISTRATION,98443191.35,69,9140
TAPFIN,67042771.56,26,936
BANK OF AMERICA-P CARD,61277984.46,84,26863
SFAA ADMINISTRATION,46114159.67,81,770
USC-COLUMBIA CAMPUS - GEN DEPOSIT,45630241.88,36,725
MANSFIELD OIL CO,34835453.03,57,2063
SHI INTERNATIONAL CORP,33968297.11,50,630
AT&T,30232693.09,41,3688
DOMINION ENERGY SOUTH CAROLINA INC,28737261.52,34,2657
CLEMSON UNIVERSITY - GEN DEPOSIT,24837025.91,24,788
KCI TECHNOLOGIES INC,23542948.169999998,10,182
SANTEE AUTOMOTIVE LLC,21489123.05,12,178
TRUVISTA,21114512.529999997,11,216
DEPARTMENT OF PUBLIC HEALTH,19962079.57,12,358
SEGRA,17859582.28,79,5210
DELL MARKETING LP,17295839.93,71,991
DUKE ENERGY,12030899.7,22,1998
MOTOROLA SOLUTIONS INC,10659047.73,26,1050
ADMN DIVISION OF TECHNOLOGY,10452517.57,25,1018
CONSOLIDATED MAILING SERVICES LLC,10194830.99,26,653
PALMETTO RURAL TELEPHONE COOP INC,10042432.16,10,264
TIERPOINT LLC,9716503.25,15,260
MAINLINE INFORMATION SYSTEMS INC,9651726.46,13,120
APPLEONE EMPLOYMENT SERVICES,9446864.23,24,2850
CITY OF COLUMBIA,9200594.91,37,1255
AT&T MOBILITY,9085518.38,39,1388
PRESIDIO NETWORKED SOLUTIONS LLC,9082830.040000001,24,193
VERIZON WIRELESS,8983469.68,76,2962
CDW GOVERNMENT LLC,8711629.05,38,544
SC DEPARTMENT OF CORRECTIONS,8294525.51,55,3417
CONVERGED LLC,7830892.71,11,133
ADMN GS STATE FLEET MGT & IMS,7395838.18,16,634
ADMIN DIVISION OF GENERAL SERVICES,6984343.64,12,326
YOUNG OFFICE ENVIRONMENTS INC,6937599.34,13,80
KEYMARK INC,6248075.59,21,302
EXECUTIVE INFORMATION SYSTEMS LLC,6138846.34,11,68
DEPT OF PUBLIC SAFETY,5725320.27,12,261
SFAA INSURANCE RESERVE FUND,5119893.29,23,102
A3 COMMUNICATIONS INC,5014290.91,43,470
MYTHICS LLC,4260668.22,11,73
DATA NETWORK SOLUTIONS INC,4226721.23,28,279
MANSFIELD OIL COMPANY OF GAINESVILL,4225606.93,11,221
LORICK OFFICE PRODUCTS INC,3845620.24,41,420
DICK SMITH FORD,3772913.33,13,222
SOTERIA LLC,3699100.0,18,244
REVENUE AND FISCAL AFFAIRS OFFICE,3665114.09,18,138
AXON ENTERPRISE INC,3662621.25,10,73
CARAHSOFT TECHNOLOGY CORPORATION,3640218.44,20,86
SFAA- AUDITOR'S OFFICE,3632570.75,83,198
PRESIDIO NETWORKED SOLUTIONS GROUP,3613247.93,16,84
UNITED RENTALS NORTH AMERICA INC,3405593.68,13,665
BLANCHARD MACHINERY CO,3404886.69,16,351
MAINLINE INFORMATION SYSTEMS,3329960.73,11,66
GROVE MEDICAL INC,3247793.66,14,1335
US POSTAL SERVICE,3199903.98,30,538
HERALD OFFICE SUPPLY INC,3090573.62,46,1729
GRAINGER,3063396.53,29,2801
CAROLINA INTERNATIONAL TRUCKS INC,2969844.73,10,454
PRECISION FIRE SOLUTIONS LLC,2832867.27,10,91
AT&T CORPORATION,2757585.7,10,134
