agency,"Buildings, Land & Capital Construction",Contracts with Governments & Nonprofits,Food & Provisions,Information Technology,"Insurance, Claims & Risk","Marketing, Promotion & Public Information",Medical & Health Services (operational),"Personnel, Training & Memberships","Printing, Postage & Mail",Professional & Contracted Services,"Rent, Leases & Facilities Operations","Roads, Bridges & Highways",Security & Protective Services,"Supplies, Equipment & Materials",Telecommunications & Connectivity,"Testing, Research & Appraisal","Travel, Lodging & Per Diem",Utilities,"Vehicles, Fuel & Fleet"
ADJUTANT GENERAL,20830070.07,0.0,11749935.4,2464821.68,886367.22,70426.27,25868.0,143520.1,133809.69,28373024.37,4758798.28,96451.37,0.0,5289571.68,1976455.28,43167.270000000004,1858118.82,4267424.45,1563978.47
ADMINISTRATIVE LAW JUDGES,0.0,0.0,0.0,402124.13,10365.86,0.0,0.0,5085.0,14407.099999999999,22189.56,233485.13,0.0,0.0,931355.5499999999,24930.48,0.0,30826.25,0.0,457.0
AGRICULTURE DEPARTMENT,2487565.69,7218213.21,212.97,1328239.93,57261.0,5894846.69,27213.0,148937.75,197068.34,423764.38,670359.47,0.0,69216.63,1070685.6,273994.77,26165.63,383012.86,652192.53,1643530.77
ARCHIVES & HISTORY DEPT,212286.64,1920.6899999999998,0.0,160939.88,83604.74,119896.81,0.0,61482.46,7281.2,3153212.92,828971.1699999999,0.0,77991.07,80691.48999999999,36464.79,10575.0,59017.84,0.0,3839.09
ARTS COMMISSION,0.0,12040.65,0.0,192475.04,29262.22,312.39,0.0,64180.0,7036.45,75821.53,138214.29,0.0,0.0,72526.19,4957.1,0.0,51222.81,0.0,10794.19
ATTORNEY GENERAL,0.0,80392.08,0.0,3721323.33,170608.3,184938.05000000002,16619.75,732954.89,81095.0,447729.81,1061551.06,0.0,58304.51,713076.84,211699.17,2000.0,648922.2,58659.9,459425.53
BLIND COMMISSION,12943.89,66037280.93,384.91,643798.57,177402.45,416.36,0.0,16313.84,34215.57,619119.13,113247.31,0.0,60279.36,693167.88,200784.0,0.0,247127.58,151754.74,392755.38
BOARD OF FINANCIAL INSTITUTION,0.0,284486.71,0.0,191061.05000000002,70632.05,937.48,0.0,60439.0,1672.94,11498.82,89126.01,0.0,0.0,15883.36,33522.4,0.0,277896.61,0.0,0.0
COMMISSION ON INDIGENT DEFENSE,0.0,1624.0,0.0,218813.79,49554.25,0.0,8000.0,8872.5,7713.2,111197.15,25808.31,0.0,0.0,13699.6,32633.53,0.0,100348.75,0.0,0.0
COMPTROLLER GENERAL,0.0,0.0,0.0,139276.77,15879.880000000001,0.0,0.0,4615.0,0.0,33215.81,54662.9,0.0,15523.880000000001,3321.42,19167.75,0.0,7298.65,0.0,0.0
CONFED RELIC RM AND MIL COMM,0.0,1624.0,0.0,67949.04,27431.0,325499.06,0.0,1815.0,4629.92,144868.11,246685.86,0.0,0.0,195712.32,2934.72,0.0,4380.92,0.0,624.46
CONSUMER AFFAIRS COMM,0.0,1624.0,0.0,227926.61000000002,39183.0,15948.619999999999,0.0,16482.5,51808.99,67339.22,18243.11,0.0,0.0,28925.2,16051.57,0.0,40369.86,29600.55,28337.73
CORRECTIONS DEPARTMENT,19080787.0,155265.0,16891611.17,13385984.879999999,26606236.67,18360.22,2090875.6099999999,863105.96,616785.35,25235787.919999998,3939095.15,0.0,0.0,58719277.53,10987632.89,96518.88,154608.25,18447500.18,6871716.7299999995
COUNTY TRANSPORTATION FUNDS,17572.06,0.0,0.0,0.0,13750.0,59.84,0.0,0.0,13500.85,1021015.26,31900.0,81020685.98,0.0,0.0,0.0,24350.0,0.0,0.0,21.0
DEAF & BLIND SCHOOL,1090699.8900000001,59788.3,31363.69,1234280.86,412702.44,67860.71,358939.3,38762.28,64429.439999999995,2170725.31,374416.07,0.0,0.0,996247.97,291535.41,0.0,374230.34,642185.06,1425380.67
DEPARTMENT OF ADMINISTRATION,37163122.48,1624.0,119.87,62320693.78,2352032.99,29701.579999999998,0.0,889701.3099999999,149292.04,35754061.31,10095192.96,0.0,1688228.9300000002,8278364.45,29430607.29,30779.55,320793.51,7564058.72,53796530.57
DEPARTMENT OF COMMERCE,44098553.660000004,4129429.64,493.5,1163762.39,79202.9,505542.8,0.0,226926.22,36708.8,4506822.75,165071.7,0.0,0.0,374820.42,114846.8,11412.5,542671.77,188.68,90979.23
