acct,acct_name,tier,fa
5010580004,CLASS POS - TECH BOARD PASS THRU FOR TECH COLLEGES,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5010600002,UNCLASS POS - TECH BOARD PASS THRU FOR TECH COLL,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5010700001,OTHER PER SERV-TECH BOARD PASS THRU FOR TECH COLL,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5021575000,TECH BOARD PASS THRU FOR TECH COLLEGES,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5130990001,OTHER EMP CON - TECH BOARD PASS THRU FOR TECH COLL,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5160080000,STATE AID TO CLASSROOMS - EIA,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5160100000,AID TO SCHOOL DISTRICTS,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5160150000,ALLOC ED IMPV-4 YR EARLY CHILDHOOD PROG,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5160170000,AID TO DISTRICT NON-RECURRING,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5160220000,ALLOC ED IMPV-TEACHER SUPPLIES,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5160280000,FIRST STEPS TO SCHOOL READINESS,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5160400000,ADULT EDUCATION,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5160500000,CERDEP - SCDE,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5160620000,ALLOC ED IMPV-JR. SCHOLAR-PRIV COL&UNIV,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5160770000,ALLOC ED IMPV-NAT BOARD CERT INC,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5160810000,ALLOC ED IMPV-ARTS CURRICULA,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5160850000,ALLOC ED IMPV-TEACHER RECRUITMENT PROG,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5160900000,CAREER & TECHNOLOGY EDUCATION,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5160960000,SDE GRANTS COMMITTEE,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5161120000,CAPITAL FUNDING FOR DISADVANTAGED SCHOOLS,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5170100000,ALLOC MUNICIPALITIES-UNRESTRICTED,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5170110000,ALLOC MUNICIPALITIES-RES,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5170110002,ALLOC MUNI-FEDERAL SUB-RECIPIENT RESTRICTED,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5170110100,ALLOC MUNICIPALITIES-PERSONNEL,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5170110200,ALLOC MUNICIPALITIES-CONTRACTUAL,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5170110300,ALLOC MUNICIPALITIES-OTHER,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5170110500,ALLOC MUNICIPALITIES-TRAVEL,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5170110600,ALLOC MUNICIPALITIES-EQUIP,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5170200000,ALLOC COUNTIES-UNRES,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5170210000,ALLOC COUNTIES-RES,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5170210100,ALLOC COUNTY-PERSONNEL,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5170210200,ALLOC COUNTY-CONTRACTUAL,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5170210300,ALLOC COUNTY-OTHER,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5170210500,ALLOC COUNTY-TRAVEL,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5170210600,ALLOC COUNTY-EQUIP,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5170450000,ALLOC COUNTY LIBRARIES,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5170500000,ALLOC SCH DIST,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5170700000,ALLOC ST AGENCIES,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5170700001,ALLOC ST AGENCIES FED SUBRECIPIENT REST,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5170700100,ALLOC STATE-PERSONNEL,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5170700200,ALLOC STATE-CONTRACTUAL,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5170700300,ALLOC STATE-OTHER,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5170700500,ALLOC STATE-TRAVEL,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5170700600,ALLOC STATE-EQUIP,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5170750000,ALLOC ENTITIES,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5170750001,ALLOC ENTITIES ARRA PRINCIPAL FORGIVENES,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5170750003,ALLOC ENTITIES FED SUBRECIPIENT RESTRICT,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5170750004,ALLOC ENTITIES ALL PRINCIPAL FORGIVENESS,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5170750100,ALLOC ENTITIES-PERSONNEL,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5170750200,ALLOC ENTITIES-CONTRACTUAL,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5170750300,ALLOC ENTITIES-OTHER,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5170750500,ALLOC ENTITIES-TRAVEL,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5170750600,ALLOC ENTITIES-EQUIP,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
5170760000,ALLOC ENTITIES-ALCOHOL & DRUG TREATMENT,Formula & Transfers,"Aid to Schools, Local Governments & Districts"
